date,open,high,low,close,volume
5/19/2017,126.44,127.51,126.385,127.15,655583
5/22/2017,127.54,129.22,127.25,128.55,662070
5/23/2017,128.61,128.81,124.94,125.99,740931
5/24/2017,126.27,126.92,125.5301,126.85,717142
5/25/2017,127,127.8548,126.42,127.58,377124
5/26/2017,127.4,127.4,126.4,127.16,354104
5/30/2017,127.02,129.08,126.82,128,489480
5/31/2017,128.56,129,126.48,128.13,1106113
6/1/2017,128.85,130.09,128.58,130.09,721461
6/2/2017,129.84,130.39,129.06,129.31,509525
6/5/2017,129.01,130.34,128.82,129.66,580872
6/6/2017,129.35,129.935,128.8,129.52,618032
6/7/2017,129.44,129.9,126.92,127.97,879899
6/8/2017,128.24,130.99,127.7,130.83,687573
6/9/2017,130.97,131.69,128.09,129.3,675191
6/12/2017,128.19,128.94,126.98,128.68,795374
6/13/2017,128.58,130.52,128.58,130.14,553982
6/14/2017,130.74,132.2,129.03,129.78,702726
6/15/2017,129.13,130.36,128.43,129.35,574691
6/16/2017,129.76,130.19,128,129.19,845071
6/19/2017,129.84,131.07,129.59,130.63,687266
6/20/2017,130.73,131.21,128.73,128.85,590674
6/21/2017,129.29,129.94,128.53,128.99,519745
6/22/2017,129.19,129.34,127.94,128.95,488380
6/23/2017,129.61,130.65,129.1,129.99,883094
6/26/2017,130.4,130.49,128.86,129.04,325329
6/27/2017,128.69,129.47,127.74,127.8,711695
6/28/2017,128.67,129.6,127.93,128.95,602045
6/29/2017,128.76,128.8,125.96,127.32,655834
6/30/2017,127.85,127.85,126.39,127.06,683192
7/3/2017,127.75,129.32,127.08,127.81,284505
7/5/2017,128.31,129.32,127.48,128.91,468639
7/6/2017,128.19,128.76,126.75,127.15,714213
7/7/2017,127.97,129.1,127.15,127.63,612007
7/10/2017,127.26,128.309,127,127.88,500078
7/11/2017,128.09,128.76,127.07,128.65,634695
7/12/2017,129.42,129.76,128.31,129.35,953218
7/13/2017,129.55,130,127.09,128.29,842003
7/14/2017,123.54,124.32,120.1536,123.84,2142523
7/17/2017,124.32,126.83,123.61,126.58,907525
7/18/2017,125.95,126.75,125.24,126.63,568887
7/19/2017,126.94,128.04,126.78,127.64,703037
7/20/2017,127.93,128.595,126.93,127.24,542334
7/21/2017,127,127.76,126.2975,126.9,479580
7/24/2017,126.53,127.53,125.32,126.79,564127
7/25/2017,126.53,129.22,126.31,128.02,682302
7/26/2017,128.68,128.79,127.16,128.2,1315326
7/27/2017,118.25,120,115.63,119.02,3845933
7/28/2017,118.77,122.71,118.77,121.72,1458511
7/31/2017,122.15,122.15,120.01,120.75,806633
8/1/2017,121.08,121.43,119.98,121.15,863566
8/2/2017,120.07,120.25,118.97,119.08,1063292
8/3/2017,119.04,120.4,118.56,119.63,889609
8/4/2017,119.82,120.84,119.64,119.78,507471
8/7/2017,119.83,120.54,119.83,120.05,580403
8/8/2017,119.68,120.5,118.43,118.62,912332
8/9/2017,118.09,118.87,117.83,118.63,737674
8/10/2017,117.67,118.44,116.32,116.41,841613
8/11/2017,117.13,117.95,116.5,117.82,777869
8/14/2017,118.9,119.86,118.5,119.01,752025
8/15/2017,119.43,119.66,118.29,118.56,656397
8/16/2017,118.87,119.09,118.1,118.63,613482
8/17/2017,117.96,118.79,117.38,117.81,590904
8/18/2017,117.68,117.91,116.27,116.48,471347
8/21/2017,116.7,116.7,115.67,116.11,527159
8/22/2017,116.24,117.23,115.99,116.95,582159
8/23/2017,116.58,116.79,115.78,115.93,438361
8/24/2017,116.26,118.14,116.26,117.52,569811
8/25/2017,117.64,118.95,117.5,117.6,408054
8/28/2017,117.59,118.37,117.13,117.71,262832
8/29/2017,117.15,117.84,116.3423,117.74,281871
8/30/2017,117.92,119.22,117.56,118.64,478592
8/31/2017,118.34,119.74,118.09,119.38,666007
9/1/2017,119.91,119.91,118.3,118.57,379190
9/5/2017,118.16,118.47,116.12,116.45,735748
9/6/2017,116.63,116.93,115.95,116.58,887292
9/7/2017,116.93,116.96,114.93,115.66,698143
9/8/2017,115.21,115.92,114.76,115.56,490717
9/11/2017,116.25,117.99,116.25,117.55,814895
9/12/2017,117.84,119.03,117.07,117.58,669806
9/13/2017,117.31,117.31,116.15,116.54,316306
9/14/2017,116.21,117.02,116,116.91,721263
9/15/2017,116.74,117.22,116.23,116.62,1184030
9/18/2017,116.79,117.47,116.55,116.9,1061880
9/19/2017,117.5,117.63,116.43,116.76,614024
9/20/2017,116.42,117.32,115.91,116.83,651392
9/21/2017,116.84,118.2399,116.35,117.71,764618
9/22/2017,117.63,120.92,117.465,119.73,991503
9/25/2017,119.34,119.88,118.03,118.81,640198
9/26/2017,119.44,119.54,118.4,118.61,392125
9/27/2017,118.89,121.77,118.83,121.06,565153
9/28/2017,120.52,123.14,120.52,121.43,1107640
9/29/2017,122.09,122.59,120.35,120.56,798811
10/2/2017,120.81,124.03,120.81,123.72,621353
10/3/2017,122.42,122.95,117.55,117.82,1406111
10/4/2017,117.86,119.92,117.82,119.35,706020
10/5/2017,119.26,120.9,118.9,120.1,558645
10/6/2017,120.09,120.6,118.85,119,602843
10/9/2017,118.8,119.92,116.24,116.3,932636
10/10/2017,116.89,117.515,115.94,116.4,1007963
10/11/2017,116.13,116.27,114.63,115.99,893404
10/12/2017,115.4,116.69,115.04,115.69,987883
10/13/2017,115.76,116.83,115.45,116.7,989030
10/16/2017,116.82,117.05,115.66,115.79,505676
10/17/2017,116.16,116.501,115.67,116.28,609665
10/18/2017,116.3,117.13,115.67,116.74,536000
10/19/2017,116.46,117.535,115.53,117.39,371205
10/20/2017,118,119.95,117.75,119.48,828885
10/23/2017,119.46,119.53,118.14,118.27,696981
10/24/2017,118.33,119.45,118.33,119.15,641135
10/25/2017,118.67,119.89,118.08,119.31,1045701
10/26/2017,119.5,127.48,118.76,124.05,2431749
10/27/2017,124.27,126.39,120.33,121.18,1425751
10/30/2017,120.7,121.88,119.35,119.63,1272144
10/31/2017,119.95,121.48,119.41,121.27,944553
11/1/2017,120.94,121.88,119.91,120.6,993044
11/2/2017,119.52,121.66,119.51,121.01,954261
11/3/2017,120.51,121.395,119.5,119.65,835380
11/6/2017,119.6,121.41,119.6,120.2,861586
11/7/2017,120.13,120.47,119.57,120.13,610734
11/8/2017,120.21,121.8,119.66,121.34,624789
11/9/2017,120.82,122.15,120.39,120.96,794855
11/10/2017,120.6,120.935,119.61,119.71,698065
11/13/2017,119.5,121.03,119.4,120.85,503821
11/14/2017,120.4,121.48,119.77,121.22,424818
11/15/2017,120.74,121.2,119.64,119.79,436358
11/16/2017,120.8,122.165,119.53,122.06,598946
11/17/2017,121.81,123.74,121.19,123.58,573848
11/20/2017,123.58,123.95,122.12,122.54,744969
11/21/2017,123.27,123.43,121.224,122.45,756645
11/22/2017,122.41,123.14,121.59,122.02,569946
11/24/2017,122.25,123.3199,121.71,123.19,382514
11/27/2017,123.32,124.27,122.89,123.7,672170
11/28/2017,124.15,127.29,123.9,126.67,768220
11/29/2017,127.27,129.99,126.02,129.86,1118083
11/30/2017,130.21,134.5,129.16,134.2,2280060
12/1/2017,134.19,134.19,130.74,132.71,1015587
12/4/2017,133.29,134.24,132.38,132.53,919616
12/5/2017,132.63,133.46,131.99,132.6,743100
12/6/2017,132.31,132.95,130.73,131.47,675448
12/7/2017,131.28,132.32,130.83,131.83,618539
12/8/2017,132.7,132.77,131.425,132.74,525509
12/11/2017,132.54,133.22,132.03,133.15,965692
12/12/2017,133.14,136.35,132.51,135.49,1208320
12/13/2017,134.2,134.2,130.86,131,1075558
12/14/2017,131.26,131.92,130.15,130.23,728974
12/15/2017,131.16,132.5,130.17,131.06,1854154
12/18/2017,132.18,133.61,131.5,131.87,584124
12/19/2017,131.57,132.2,131.1,131.51,417250
12/20/2017,131.67,132.17,129.7,131.45,527494
12/21/2017,132.01,133.03,131.45,132.36,536965
12/22/2017,132.43,132.68,131.54,132.37,254153
12/26/2017,132.2,132.94,131.105,131.26,272195
12/27/2017,131.38,132.12,131.055,131.75,266152
12/28/2017,131.88,132.18,131.105,132.08,267215
12/29/2017,132.44,132.56,131.14,131.22,329550
1/2/2018,131.64,132.78,131.31,132.58,400836
1/3/2018,132.84,134.85,132.675,134.04,801593
1/4/2018,138.3,138.66,136.52,137.12,791122
1/5/2018,139,139.4,135.85,136.18,848604
1/8/2018,135.88,137.89,134.55,137.62,428077
1/9/2018,138.23,138.5,137.055,137.84,492138
1/10/2018,137.37,139.62,137.37,139,606069
1/11/2018,138.9,140.5,138.7,139.77,433143
1/12/2018,140.07,141.88,139.83,141.81,414789
1/16/2018,141.79,142.6,140.15,140.52,569654
1/17/2018,139,141.3,137.5,139.55,738209
1/18/2018,139.24,140,137.98,138,568261
1/19/2018,138.7,139.56,138.19,138.76,718491
1/22/2018,138.7,141.33,137.75,141.06,916819
1/23/2018,141.49,143.2159,141.08,142.59,642920
1/24/2018,142.76,143,140.82,142.13,1251158
1/25/2018,144.27,144.45,134.84,134.94,1838081
